GENE,D37M,A142M,I57M,I12M,D43M,A145M,A59F,B06F,I53F,I48F,B32F,D94F,A112M,B30F,A122M,A106M,B35M,A79F,I27F,A48F,I86M,D19F,I50F,A87M,A71F,A20M,A77M,I52F,A127M,A52F,A39F,B36F,D42M,A30F,D99F,D114M,I59F,I46M,B02F,A25F,B33F,I21F,A139M,B27M,B09M,D84F,A40F,B28F,D17F,D06F,B10M,D128M,A136M,I04M,A47F,A34F,I02M,D104M,B04F,I39F,I06F,B31F,I88M,A54M,D111M,A55F,D05F,D108M,I45F,D107M,A134M,I38F,I01M,A46M,D132M,D152M,D95F,B54M,A41F,B40F,D125M,B51M,A56F,I47F,B05F,I79F,A80F,I54F,A09M,I03M,D70F,D24F,B07M,D85F,I77F,D153M,B08F,A03F,I29F,D120M,B18F,A35F,D61F,B14F,A105M,D81F,A109F,D72F,D14F,I30F,A53F,A89M,B26F,A117M,I84F,I33F,B12F,A82M,I65F,D143M,D12F,D98F,A65F,A27F,I25M,D130M,I31F,B01F,A150M,D08F,I62F,D44F,A119M,A51F,B11F,I11M,I81F,A26F,I35F,D10M,B34M,B52M,B45M,D131M,A32M,A78M,D13F,D88M,A50F,A63F,D01F,I28F,D69F,B03F,I44M,D07F,A96F,B53M,I15F,A64M,I34F,D21F,D86F,I19M,D101M,D66F,A74F,D141M,A31F,A138M,B39M,B37F,B19F,B21F,I55M,A45F,D68F,I05M,I37F,D15F,A147M,A60F,I08F,D151F,I14F,I51F,I09F,D92M,A110M,I22F,A135M,A57F,B29F,A103M,B16F,D137M,I66F,A49F,B13F,D156M,I56M,I07F,A18F,A58F,I49F,B23F,A91F,D157F
RPS28,5.97135923,4.5843688,6.01069045,5.60516033,5.70030892,4.86144291,5.51710393,4.20810944,5.28106525,6.23731349,5.93476693,5.78268154,5.22652062,4.34616424,5.36103605,5.87718425,4.49103208,6.03572618,6.59443054,6.01560385,5.66394907,5.30828097,5.82580046,5.13088348,6.00071387,6.10564637,5.62996884,6.37559258,5.59724693,5.60217896,5.99227789,4.76567586,5.81409731,5.86243515,6.42513561,6.50635442,6.02007183,6.3646747,5.49175905,6.26685432,5.34474441,6.49795063,5.28413878,5.76857872,5.58255248,5.9258044,5.84054683,4.15091037,3.64841957,4.92223288,4.24402728,5.16571048,4.51519585,4.98616672,5.14033366,5.48626497,5.34353137,5.66853574,4.14429989,4.76422792,4.71064942,4.54043783,4.79475987,5.30630043,5.25639981,5.17717371,4.67403124,5.01661654,5.4954572,6.11813154,5.44028452,5.440759,5.24837537,5.32673883,5.69882662,5.72845575,4.98662885,5.06795135,5.46116129,4.9669323,5.72038454,4.37291144,5.15148161,5.25839504,3.54473039,4.69887274,5.46098951,5.354522,4.91226851,5.60686907,5.15987059,5.5576879,4.31438722,5.85296706,5.76655707,5.42183524,3.86872229,5.80953772,5.46675194,5.34845618,5.27961838,5.79556071,5.67726915,5.52047818,6.45660655,5.5592891,5.93017489,5.14201309,5.30449847,5.48718557,5.35439583,5.32329845,4.78151368,5.2675128,5.65644646,6.27018837,4.89925341,6.46989988,5.91362862,6.52883343,6.30208746,5.93359645,5.80031621,6.16054496,6.11242305,6.90946955,6.68091467,5.85461589,5.83286195,6.2133535,5.21456984,6.22897662,5.70555957,6.54977777,5.49924755,6.82035604,5.73017026,6.40666309,6.56211876,5.37843352,5.19496955,4.030139,4.53726972,4.94473859,5.70439819,3.30975819,5.6009766,5.27947026,5.14642418,5.38853984,5.38883144,4.70008482,5.30121627,4.1734301,5.1687045,5.36670687,5.09299206,4.99608743,5.37228928,4.68467525,6.1079675,6.44430088,5.68960131,6.16852311,6.56512439,6.49447803,5.92352319,6.16030083,5.5521722,5.91277099,5.14921342,5.21573822,5.68183118,5.40018866,6.39750345,6.71363423,6.67893348,6.34212399,6.47131302,6.41193117,5.91318925,6.81400043,6.69045974,6.28156197,6.86532898,7.61079301,7.27717795,7.101161,7.3142585,6.81361343,6.91412933,7.20527469,5.52930612,7.33167022,5.90788078,6.86662738,7.53155672,7.51603943,5.31464174,6.31531175,7.28552577,7.00872824,7.25237913,7.44827872,6.76204408,6.22460178,7.44594455,7.28019079
FLJ36848,0.15783428,0.00477942,0.25891073,0.22940429,0.21865978,0.13385197,0.36010541,0.33642632,0.10776664,-0.1160073,0.20282341,0.07317491,0.06020379,0.37368873,0.16136926,-0.0584424,0.63746287,0.54916085,0.44062881,0.212164,0.39695015,0.01898752,0.05551218,0.20785898,0.36559273,8.97E-05,0.08899291,0.01326949,-0.1198127,0.03175026,0.09514499,-0.0038046,0.46445853,0.38903983,-0.0410482,0.44154101,0.40387843,0.2792778,0.42484726,-0.1254936,0.6487308,0.33006048,0.6130571,0.41960186,0.50377533,-0.0701626,0.22834419,0.10005187,0.15173814,0.35918311,0.35826881,0.1776573,0.11886032,0.28676365,0.13309605,0.23029887,0.00078501,0.25704717,0.6901074,-0.252123,0.17709034,0.08361979,0.18727953,0.26954284,0.12518696,0.26912873,-0.0925863,0.17744504,-0.1806949,0.47676245,-0.0735717,0.39527675,0.11528599,0.31824506,0.17800627,0.25555589,0.08248793,0.3733665,0.18662487,0.20674097,-0.1853813,0.39479012,0.07511021,-0.0218252,0.52655131,0.10474833,0.22105145,0.21841486,-0.0969723,-0.0707078,-0.1621311,0.26519162,0.2870217,-0.1329484,0.42852927,0.60615087,0.51375278,0.27143702,0.58712972,0.37910639,0.33026188,0.48015993,0.51192322,0.73429674,0.48498552,0.36485212,-0.1414299,-0.0541936,0.18318845,-0.0260688,-0.1003479,0.07617358,0.52478934,0.09316034,0.57421847,0.3713014,0.46050928,0.21213303,0.62352989,-0.1537371,0.35448334,-0.0008465,0.12470425,0.2735475,0.3600729,-0.0732373,0.18903086,0.74658162,0.38023356,0.37808716,0.19871994,0.2188919,0.32576657,0.34523099,0.49547129,-0.101364,0.71886431,0.30678301,0.41505335,0.13646716,0.34891548,0.08428938,0.92577687,0.2685295,-0.0322426,0.24648302,0.29136968,0.31598847,0.53331454,0.37225158,0.32573822,0.30086809,0.28277408,0.48157196,0.63941738,-0.0730013,0.02273729,0.4809994,0.45572819,-0.1454674,0.38429279,0.08570179,0.18947633,0.08650049,0.3805601,0.27332854,0.14676322,0.04957962,0.23576484,0.43181335,0.3277215,0.39109799,0.59942079,0.71873516,0.18136661,-0.11456,0.01067094,0.32815531,0.87716749,-0.1780688,0.04407332,0.40150926,0.68707696,0.44748361,0.33920832,0.16508802,0.28109887,-0.0074211,0.43438986,0.17837213,0.45012589,0.45590518,0.28373712,0.15904122,0.38148364,-0.0784936,-0.1310189,0.15708954,0.01298539,0.13397494,0.18469317,0.2892735,0.43383122,0.07410712,0.41163314,0.83713326,0.00955754,0.23991956
TICAM2,3.26471502,2.10547913,3.78663977,3.43138465,3.21186643,2.08080918,2.04729499,1.81857978,2.90940537,3.28362666,3.41244512,3.31133284,1.58588356,2.0474844,2.42452902,2.88338419,2.75574752,3.24706291,3.43018725,2.75157694,4.1547546,2.97453324,2.72948238,2.75213771,2.45388084,3.18771003,2.52922122,3.01226812,2.22918037,2.50544087,2.87819488,2.00682638,3.05536217,2.96495394,2.98128234,3.63421596,3.11555075,3.42684126,3.0936794,2.81065408,2.82103195,2.82971958,2.46867142,2.47152573,2.87443207,1.9408716,2.7850026,2.19737459,2.40689464,2.38693557,2.80274392,3.00543232,2.37297974,3.00098516,2.70885214,2.70763657,3.27746798,3.22272845,2.22248796,2.34669233,3.01012456,2.54031104,3.01228646,3.07882738,3.04620323,2.54243755,2.21488835,2.84224719,2.45634078,3.08167483,2.68705916,3.36356826,3.25354462,2.67060394,2.86251664,3.05232945,2.79833596,2.51468174,2.41748684,2.18918517,2.78317826,2.44177689,2.53209656,2.58968504,2.43495967,2.96642313,2.8533687,3.17193893,2.18844658,2.9284092,2.42923798,2.35484764,2.31122458,2.88018739,3.68763359,3.49200923,2.57116088,2.96766718,3.35127521,3.35226367,3.16217888,3.53021557,2.30845481,3.18890227,3.49875573,2.17881721,2.64441585,1.94998099,2.33468822,2.38208539,2.92280032,2.66157382,2.24524507,2.25989382,3.26001733,3.45146532,2.26698097,2.66155478,3.23873422,3.96481663,2.71939464,2.54323941,2.50700983,2.93787052,2.81803619,3.67474511,3.00265641,3.02281715,2.29497791,2.84523435,2.35138062,2.36177612,2.35756854,2.74332933,3.46473044,2.99529411,3.38179424,2.42307121,3.13202345,2.59742138,2.8675384,2.27014387,2.64440528,3.15784783,2.66479371,2.61687935,3.22097163,3.07169081,2.88142722,2.10231575,2.1081704,2.53666785,2.49100855,2.24006439,2.81149809,2.03653048,2.33094898,2.13745788,2.60537341,2.04951744,3.22917269,2.57341937,2.27169257,3.02741833,2.85417252,2.76159151,1.95440773,2.85554355,2.73974297,2.02853485,2.40902836,1.98340982,2.41658942,2.84409575,2.89938132,2.77724932,3.40931987,3.25672359,3.20206704,2.92012069,2.09588118,2.69543369,3.27387302,2.96490838,3.69005811,3.7802354,3.86980284,3.38656106,2.84048103,2.9037105,3.38055066,3.76085157,2.19437235,3.42882487,2.65433677,2.94323102,3.5161077,2.94989849,2.24185244,3.28682902,3.37887082,3.17219215,3.20056249,3.31190471,3.42819957,3.34045403,2.99430907,3.30910202
PCBD2,0.99451437,0.62678013,0.47399635,0.58427793,0.66279103,0.29505459,0.45962907,0.20775828,0.00967562,0.57697856,0.80489755,0.98120943,0.2876008,0.27315533,0.51687808,0.38768922,0.24522694,0.80387669,0.32441145,0.85788826,0.63046556,0.38511372,0.27316331,0.07666525,0.32407638,0.7290543,0.49682854,0.44736534,0.50881313,0.55109511,0.62378721,0.1818455,0.46710363,0.53231463,0.88845176,0.63349845,0.74388328,0.75460098,0.33577534,-0.0408028,0.41633865,0.99822584,0.38478922,0.38318587,0.41599154,0.02483165,0.84109647,0.23233707,0.82246303,0.98504641,0.33545236,0.64833642,0.73400079,0.79758617,0.43643782,0.72631956,0.72183578,0.26886162,0.22561588,0.19060164,0.53174806,0.25190139,0.61139819,0.48958916,0.61018631,0.48792998,0.67546496,0.42950169,0.41133522,0.79364036,0.45295551,0.67575533,0.27311256,0.61632177,0.56123896,0.78925021,0.54057585,0.38058578,0.47008105,0.28170471,0.26261249,0.28025756,0.39678429,0.33793297,0.16936512,0.33823505,0.44498399,0.62830103,0.54427905,0.55199099,0.12138079,0.46160421,0.23458956,0.69606475,0.56356043,0.79083203,0.44981624,0.90921992,0.81131639,0.52219016,0.41727886,1.00693257,0.9098761,0.45920776,1.28649455,0.4551286,0.18841035,0.54772148,0.67464574,0.49894499,0.30806515,0.26834596,0.38070507,0.28691434,0.5179267,0.50314858,0.03538853,0.67492865,0.42021315,0.22995255,0.48368133,0.52989364,0.08493231,1.03296612,0.56967334,0.69152891,0.40280994,0.27446791,0.50490519,0.54476831,-0.0064873,1.04093541,0.51963035,0.75022928,0.22086226,0.24147513,0.51328248,0.73774549,0.64621242,0.46496896,0.3521246,0.37855884,0.54462446,0.59481818,0.74363297,0.44317865,0.52213252,0.72744451,0.73304755,0.50253348,0.09985573,-0.0737908,0.44640598,0.1159239,0.50612389,0.2508596,0.12377234,0.38375895,0.43666746,0.35123871,0.46463895,0.05619151,0.36396899,0.55726189,0.48466885,0.60558946,0.2919642,0.85449231,0.33384431,0.58687633,0.22648608,0.23773159,0.16702542,0.15866775,0.47841883,0.82529643,0.66591611,0.36182435,0.72073103,0.22655423,0.55973226,0.6572991,0.69515726,0.6942852,0.6399189,0.5331887,0.61997123,1.09269678,0.83896386,0.31867708,0.97727649,0.76307564,0.11585763,1.01522361,0.18724316,0.77832006,0.40550385,0.54957534,-0.1083714,0.7935145,0.66678564,0.9110869,0.81524922,0.42220922,0.61771372,0.16347434,0.75373267,0.79176529
GPC2,0.42356379,0.09104458,0.03971862,-0.0435897,0.35624556,-0.0033304,0.29202181,-0.1034605,0.16343084,0.30217646,0.59647203,0.48582154,0.45047544,0.16603923,0.44257443,0.74493884,0.13755793,0.40886148,0.20099045,0.37066629,0.16091244,0.09324053,-0.0973076,0.02234001,0.13228892,0.46844806,0.37199291,0.0945407,0.15633204,0.4367084,0.54695264,0.04726799,0.0886087,0.00745984,0.65740886,0.59662825,0.15667828,0.40288755,-0.0085218,0.50447429,0.14728743,0.15179619,0.4263823,0.27775269,0.17587118,0.67299179,0.4947678,0.12212198,0.24248804,0.18931034,0.29136438,-0.2107039,0.24800277,0.56690971,0.53213202,0.0633675,0.20736815,0.32019735,0.06036194,0.32637973,0.0189602,0.03428006,0.07363681,0.12881697,0.05216379,0.3856709,0.23218167,0.28225494,0.4172179,0.27494334,0.37073125,0.2235014,0.24609395,0.16319821,0.33660352,0.29785959,0.15501624,-0.0295937,-0.0351365,0.05948749,0.22750268,-0.0052553,-0.0047253,-0.1556299,-0.1719861,-0.0531058,0.22587726,-0.0268363,0.39345992,0.32568302,0.35799522,0.43144872,-0.1250012,0.64543932,0.32456661,0.12012574,-0.1923638,0.92079144,0.39420671,0.50543366,-0.0126178,0.27174489,0.27131473,0.55333636,0.40682221,0.42445474,0.09006527,0.16232229,0.18205582,0.3294639,0.58921453,-0.2650854,0.12094586,0.20606262,0.01409541,0.11940877,0.1011417,0.34474631,0.00612177,0.43139236,0.19825016,0.39697811,0.30259482,0.4580708,0.15164405,0.84137348,0.44321178,0.3589773,0.24776656,0.43173415,0.34045151,0.6013314,0.37390027,0.43094927,0.37554415,0.23759945,0.26075314,0.43412751,0.37801907,0.59937283,0.61350439,0.23208216,0.19447092,0.26391265,0.34814433,0.01530009,0.34588953,0.2748837,0.4668573,-0.1447508,0.2920568,0.1010889,0.28126004,-0.071745,0.49428031,0.40179695,0.342093,0.01520997,0.08502824,0.1840508,-0.08324,0.18159009,0.21592219,0.28174679,0.39861946,0.58973877,0.11135457,0.50665204,0.13104324,0.34265978,0.43342371,0.35771117,0.47917832,0.16331449,0.40098859,0.92273899,1.02789192,0.39871759,0.13432123,0.35694567,0.47370992,0.35882884,0.42471805,0.54167705,0.42726991,0.44997373,0.32357911,0.72609559,-0.0373445,0.24317361,0.15258523,0.3948154,0.36000903,0.7784012,0.40602544,0.68455695,0.48113894,0.28477372,0.26303394,0.19323485,0.41880353,0.42119269,0.59346748,0.42713074,0.2730694,0.13625191,0.57547025,0.15141179
EPS8,0.44331113,-0.0280303,-0.0970761,0.05771802,-0.1039489,-0.0872904,0.12956714,-0.0231966,0.00482961,-0.0354927,-0.1367173,0.34222962,-0.051196,0.0324484,-0.1032605,-0.135704,-0.0848038,0.0687389,0.50907056,-0.1051916,-0.1173635,-0.0450756,-0.0677976,-0.0074281,-0.0698879,0.07180605,-0.1262992,0.05845951,0.00362827,0.24667283,0.05251938,0.01064487,0.14682353,0.09693855,0.03919892,0.03631505,0.17341102,-0.007754,-0.012406,-0.1482859,-0.2934252,-0.0405405,-0.0252216,-0.0805959,-0.2312496,-0.0159898,-0.0047473,0.01511297,-0.2433401,-0.0903104,0.0743711,0.04055234,-0.2280385,-0.0780628,-0.0524704,-0.0659561,0.0941754,0.1055303,-0.15531,-0.2885609,0.00820413,-0.1728699,-0.1293654,-0.0331957,0.25473695,0.10430503,-0.0612823,-0.2370083,0.05111584,0.11949022,0.06305314,0.27628029,0.01619331,0.20153842,-0.0219002,0.12048053,0.06371369,0.16364026,0.25365372,0.17695181,-0.0115018,0.02217201,0.18237721,-0.0340122,0.01352773,0.29357634,0.12233346,-0.0378583,-0.0583191,0.15972808,-0.2053605,0.11717911,0.0923832,-0.2177462,0.03063808,-0.3246483,-0.0969204,-0.1043818,-0.0470442,-0.1514803,-0.2925128,0.18030553,-0.0599885,-0.3596293,-0.1240309,-0.0954349,-0.2385219,-0.0742754,-0.1458802,-0.045143,-0.0345281,-0.0522788,-0.3368932,-0.0087902,-0.1751691,0.09132419,0.02518372,0.08156087,-0.0458387,0.08720642,0.13118186,0.06573784,-0.043542,-0.0113574,-0.0829693,0.06993125,-0.0027084,-0.2201977,0.00134117,0.05139769,-0.2138432,-0.109786,-0.1251811,0.09082006,-0.0034854,0.03458156,-0.0760673,-0.0964696,-0.0525016,-0.1302279,-0.2116603,-0.1494013,-0.0311554,-0.01769,-0.1882673,-0.0487226,-0.0225657,0.11437204,0.02658767,0.07476751,0.08907712,-0.1681266,0.00482307,-0.1481711,0.12447581,-0.0993919,-0.0407372,0.01381971,0.02555385,-0.0511566,0.0435783,-0.0258163,-0.0672215,0.00159442,-0.0358508,0.07031523,-0.1359255,0.16011076,-0.1597206,-0.1443892,-0.074285,0.02806271,-0.0851216,-0.3364396,-0.1457558,0.19603243,0.02798105,-0.0566818,0.13454762,-0.1325152,-0.176985,0.00618073,0.1478791,-0.2312113,0.07095677,0.11955155,0.76442702,0.21869191,-0.0176992,-0.2264025,0.24061927,0.38546079,-0.032523,0.42931418,-0.0991844,0.18327869,0.0738511,0.2460794,-0.0504825,0.07427171,0.37113212,0.58321143,0.14886906,0.45305527,0.10486878,0.15456639,-0.0998232,0.15391257
SLC38A2,3.79416869,2.5611486,3.96312574,3.55151823,3.76980088,2.31916125,2.85066116,2.43116071,3.11780071,4.0015338,4.23865575,4.05689017,2.56155213,2.37670604,2.48451104,3.20791249,2.49152319,3.91370055,4.55857243,3.69948785,4.33926592,3.79297071,3.67232217,3.26155484,2.97705228,3.76455338,3.40305349,3.65799618,2.79285428,2.91380787,3.76938103,2.48185069,3.61074786,3.28540363,3.62201888,4.02237737,3.88564435,3.8772511,3.21834884,3.63684241,3.52308873,3.82134925,3.13271024,2.93956789,3.41653563,3.03417691,3.75204399,2.54911495,2.71544505,2.84941985,2.62502166,2.5794102,2.11622871,2.88496815,2.6257406,2.76060253,3.31644354,2.87387224,2.52732724,2.41810427,3.03345592,2.43660493,3.01047081,2.87465485,3.17722552,2.85629772,2.40408441,3.21216288,3.00166402,3.42831818,2.59356318,3.72150084,3.11875674,2.74400399,3.29202012,3.36388255,2.70458799,2.73878116,3.09116503,2.49340745,3.72898658,2.43599992,2.85483945,3.15406152,2.45203069,3.28113164,3.10353705,3.54960983,2.88743821,2.81368899,2.69652695,2.88020358,2.35840006,4.05672902,4.28046018,3.64306577,2.55026236,3.23274921,3.63221695,3.51400221,3.42946128,3.84973606,2.7570611,3.38557647,3.98890093,2.71876093,2.43512017,2.43933569,2.96248169,2.92929757,3.29377053,2.91180986,2.54294435,2.4931453,3.61268007,4.11719203,2.47859577,3.09645642,3.59563496,4.78588282,3.34916341,3.06149228,3.16781182,3.81754129,3.46530914,4.36265648,3.67816469,3.62536706,3.07630258,3.46569549,2.1640824,3.17620784,3.52526115,3.68567149,3.40874691,3.88873838,3.22342499,3.28791998,3.65733526,3.34335227,2.93496469,2.01712586,2.49599662,3.13804971,3.15351638,2.89381199,3.12829992,3.13486689,3.11479577,2.44909354,2.60052407,3.40818373,2.47991094,2.37200897,2.91453938,3.2742309,3.05647007,2.40572359,3.41702155,2.4666304,3.84190233,2.81460571,3.57517462,3.85881204,3.54831509,3.54713423,2.75762581,3.80901906,3.24950684,2.72410246,3.24429755,3.16015152,3.48662431,3.39651147,3.37954147,4.06635423,3.74672545,3.40352453,4.11218686,3.40822063,2.60679023,3.74408841,4.09315647,3.28489443,4.15592498,4.23972902,5.06153872,4.54818198,3.99746147,3.89816872,4.39878777,4.26204469,3.28697352,4.00008271,3.80793863,4.32978984,4.79147347,4.08499686,2.98035582,4.29778533,3.80334031,4.37822769,4.53862679,4.18156583,4.52223863,3.78909985,4.549198,4.11700652
LOC653658,6.41804574,4.58181486,6.22806594,5.9515392,6.01088298,4.8953279,5.52763859,4.48016798,5.46930881,6.25156131,6.03562633,5.74019971,4.89632052,4.29268473,4.99065681,5.19770954,4.84104469,6.48906652,7.02105007,6.13780689,6.30256674,5.47349035,6.07867969,5.4222953,5.8503363,6.39628365,5.72551504,6.17082976,5.19139976,5.72830984,6.21639523,4.65184783,6.14441388,6.25687084,6.34962602,6.74521214,6.51877518,6.31946551,5.66531181,6.16151129,5.46608625,6.65035677,5.20018881,5.51106801,5.96546751,5.23975768,6.45466114,4.58673697,4.8568146,5.16716342,4.62648102,5.58482604,4.88607852,5.54391541,5.54538687,5.69951224,5.82517205,5.67768008,4.84243907,4.84347097,5.36991426,4.61400581,5.06754701,5.74825425,5.89838581,5.79968866,5.12588577,5.55017005,5.73048261,6.13625047,4.81745532,5.87022649,5.5851189,5.61951616,5.82666312,5.96859305,5.07790108,5.18634648,5.67758462,4.74837766,5.78496025,4.64449892,5.48346654,5.33819968,4.10993343,5.26059516,5.69920873,5.87010202,5.34165867,5.88486242,4.62451191,5.87148333,4.32726782,5.99808129,6.52653716,6.2943346,4.38717334,6.07938292,6.34130845,5.5772709,5.61754509,6.62074807,6.09179564,5.53488497,6.5617866,5.64226457,4.90626209,4.5217066,5.49860314,5.9017133,5.6477521,5.39830515,5.10280129,4.85365518,6.18785108,6.71568953,5.1233836,6.56394102,6.43866069,6.67881483,6.20248905,6.00683357,6.10997295,6.72813845,6.06333297,7.04140939,6.64370596,6.07833911,5.8435092,6.70568881,6.07510931,6.24467118,5.548173,6.90805711,5.76118413,6.59392615,5.97426914,6.48409659,6.72621161,6.05418998,5.34581443,4.43168173,3.9498685,6.00475173,6.21212406,4.88015422,6.21371713,6.05100995,5.72367,6.0418989,5.62591909,5.01591867,5.22396975,4.67209608,5.44678327,5.46109944,5.14531237,5.14962919,5.98023576,5.43216921,6.3401825,5.84162933,6.04175004,6.58437232,6.80653881,6.69986233,5.98102852,6.80041536,5.91767403,5.47113465,5.15935765,5.21629252,6.10156367,5.757445,6.32295544,7.19347369,6.54316728,6.24406988,6.87699733,6.20943367,5.73266215,7.14348094,7.07826712,6.46810982,7.37054831,7.3480941,7.14088317,7.11819786,7.44548649,7.08879367,7.27468613,7.31579956,5.80702262,7.4787217,5.99917656,7.01425493,7.32531791,7.35500111,5.70934511,6.49002906,7.24155778,7.16061586,7.26681186,7.30959282,6.98603557,6.16442515,7.41234508,7.3700311
LOC729196,1.24690901,0.65826489,1.36176808,1.48615481,0.98961551,0.44947058,0.70991856,0.54339634,1.00640248,0.88484585,0.84794855,0.53810936,0.03650465,0.17055687,0.91172717,0.18593065,0.69614939,1.19695701,0.34797271,1.57567319,1.13856638,0.95048868,-0.0639398,0.79126318,1.20517414,1.09321497,0.94574084,0.86630005,0.23550501,0.80248838,0.44070422,0.51468814,0.97314868,1.09010722,0.70953475,1.60693669,0.98518742,0.89837932,1.34470568,1.10558614,0.70135892,0.80136652,0.81338541,0.34201712,1.02425451,0.25328418,1.23960978,0.11784576,0.50002435,0.71561189,0.92803411,0.91273055,0.47024327,1.11766747,1.12603131,0.67072114,1.06811692,1.60972455,0.94269733,1.56862461,1.08053461,0.88107091,0.93477174,1.36724357,1.31939734,0.67903846,0.73755183,0.82525511,0.11556561,0.59654099,0.42537718,0.70241196,1.65394758,0.92891155,0.89867512,0.84562173,0.79637187,0.8493401,0.60878148,0.70041709,0.41777607,0.49103927,0.8016021,0.69433638,0.56611526,0.2784179,1.13386068,0.60282222,0.6656985,1.11679276,0.40115765,0.48686728,0.78224824,0.52464788,0.49669439,1.24655434,0.9171247,1.13826118,0.99629532,1.31601116,1.18976809,1.21221407,0.8236121,1.42501819,1.29366088,0.52726999,0.61795879,0.33723762,0.58234288,-0.0077343,1.06626393,0.92993619,0.4645367,0.433347,0.48218099,0.99731123,1.10695937,0.83693158,0.8106265,1.48643052,0.65900889,0.91120951,0.69580558,0.82442837,1.15522732,1.27809991,0.67584511,1.34982712,0.49238492,1.04642623,2.0798166,0.87029696,0.53938229,0.77561063,1.37440403,1.34405383,0.53027856,0.95444297,1.00059296,0.8795785,0.81118584,0.41525208,0.92261256,1.08523709,0.58439556,1.22705641,1.26128125,1.12261183,0.73064876,0.44680386,0.60520999,0.86279954,0.4553153,1.05450565,1.1480492,0.12121852,0.73016125,0.83505741,0.57571835,0.51996175,0.47852843,0.96794504,0.65945186,1.10479197,1.18218942,0.55999957,0.69542698,0.95387387,0.93022315,0.52719029,0.95923782,0.24314846,0.68011997,0.82724979,1.03247147,0.13289033,1.05539561,1.42471764,0.54797215,0.90134795,0.74504847,0.91621894,0.75660295,0.7987599,1.24533725,1.36445682,1.23871301,0.80082131,0.73185797,1.04609653,0.82731866,1.45531815,0.53321791,0.92172906,0.90828178,0.08862079,1.19210606,0.99425984,1.06459505,0.84297816,1.07287528,0.66152686,0.8047406,1.10813119,0.20110116,1.05930731,0.56155368,0.68900848
ZNF507,0.1416621,0.04821162,0.04321909,-0.1837772,0.34849329,-0.0939668,-0.0295309,0.07129145,-0.1789541,0.13018392,0.3927051,0.21208657,0.05859415,-0.1429303,-0.065801,-0.0244533,-0.0217149,0.58918942,-0.1337758,0.23000056,0.25240708,-0.0097938,0.17250753,0.07912366,-0.0914986,0.55546729,0.16377875,0.14172255,0.01432836,0.44062427,0.39472996,-0.1138452,0.22802455,0.14135028,0.22196716,0.19539141,0.19650776,0.14815576,-0.1781404,0.05361588,0.13050884,0.03455787,-0.0263498,-0.0287219,0.12405839,-0.0463693,0.45517412,0.08192378,0.30811619,0.46199168,0.1124117,0.16252599,-0.15158,-0.0837661,0.20970258,0.11619374,0.07895965,-0.0457483,0.10026006,-0.1877597,0.0016858,-0.0959064,-0.1607458,0.20989134,0.27443067,0.16186532,0.03189651,-0.1444937,0.0818379,0.30573174,-0.1019922,0.21013671,-0.0623675,0.15298008,0.26120227,0.45714039,0.13431108,0.02142867,0.15388062,0.04591776,0.10212226,0.0190649,0.07209626,0.15066649,-0.0870882,0.07544436,0.03648632,-0.166237,0.26737425,0.02731741,0.03339599,0.20947574,-0.0482785,0.13023743,0.2299295,0.11920446,-0.0813548,-0.0664468,0.23753473,0.06285218,-0.0063296,0.48313983,-0.2056276,0.17953698,0.1376532,-0.1505238,-0.2403683,-0.0912928,0.08966775,-0.0423465,0.18200382,-0.0192631,0.0077715,-0.1599874,0.20225271,0.0105954,-0.1132749,0.16836939,0.30691815,-0.1524136,0.22700221,0.05725747,-0.0163855,0.43878585,0.01122147,0.05736279,0.03700621,0.09944139,0.0728964,0.16815159,-0.1771566,0.17465896,-0.0486091,0.45434284,-0.2469651,-0.1785132,-0.0519544,0.53430168,-0.1078883,0.31819426,0.04820484,-0.0951249,0.08702685,0.18357329,0.46119393,-0.0207655,-0.0013008,0.22375079,0.25344945,0.08052495,0.02104395,-0.2047285,0.10052171,-0.0433003,0.01659822,0.08137221,-0.0033897,-0.188237,0.0468817,0.15162389,0.22714617,-0.0168475,0.26547093,0.01430501,0.16145931,0.24802329,0.31619362,0.19537679,-0.1475166,-0.0958614,-0.030979,-0.0222361,0.04720133,-0.1144877,-0.0568785,0.47034442,-0.092658,0.05041812,0.19303129,0.0231246,-0.2148775,0.26237571,0.19078275,0.1664812,0.08378019,0.10063226,0.5235168,0.61709087,0.35460271,0.22760424,0.24489486,0.51728911,0.03883669,0.31779165,0.21590536,0.46052115,0.21404719,0.32438996,0.02109586,0.05239786,0.04188431,0.23680071,0.22886541,0.36887382,0.23727372,0.12142433,0.45626516,0.38541034
